Date;Volume;;;;
03/11/2016;2758500;;;;
04/11/2016;2636100;;;;
07/11/2016;2644300;;;;
08/11/2016;2018000;;;;
09/11/2016;2760300;;;;
10/11/2016;2758600;;;;
11/11/2016;1965600;;;;
14/11/2016;2027400;;;;
15/11/2016;1952800;;;;
16/11/2016;2347700;;;;
17/11/2016;1900000;;;;
18/11/2016;1528600;;;;
21/11/2016;2000600;;;;
22/11/2016;1586700;;;;
23/11/2016;1829600;;;;
25/11/2016;1176200;;;;
28/11/2016;2347800;;;;
29/11/2016;3593200;;;;
30/11/2016;6723100;;;;
01/12/2016;13015700;;;;
02/12/2016;4738400;;;;
05/12/2016;3107900;;;;
06/12/2016;3280400;;;;
07/12/2016;2924600;;;;
08/12/2016;2412700;;;;
09/12/2016;1737200;;;;
12/12/2016;1568000;;;;
13/12/2016;1381800;;;;
14/12/2016;1373000;;;;
15/12/2016;2034500;;;;
16/12/2016;2477900;;;;
19/12/2016;1454100;;;;
20/12/2016;1658300;;;;
21/12/2016;1153200;;;;
22/12/2016;2185000;;;;
23/12/2016;1485100;;;;
27/12/2016;1183300;;;;
28/12/2016;1043500;;;;
29/12/2016;744400;;;;
30/12/2016;1171400;;;;
03/01/2017;1147700;;;;
04/01/2017;1391300;;;;
05/01/2017;1482000;;;;
06/01/2017;1419900;;;;
09/01/2017;1091800;;;;
10/01/2017;977400;;;;
11/01/2017;1245400;;;;
12/01/2017;1132300;;;;
13/01/2017;1080000;;;;
17/01/2017;1801300;;;;
18/01/2017;2069400;;;;
19/01/2017;1699400;;;;
20/01/2017;1419600;;;;
23/01/2017;1617600;;;;
24/01/2017;2091700;;;;
25/01/2017;1558200;;;;
26/01/2017;1672000;;;;
27/01/2017;1788000;;;;
30/01/2017;1935500;;;;
31/01/2017;2926000;;;;
01/02/2017;2178800;;;;
02/02/2017;2277600;;;;
03/02/2017;2184600;;;;
06/02/2017;1947000;;;;
07/02/2017;2777500;;;;
08/02/2017;4168100;;;;
09/02/2017;4509200;;;;
10/02/2017;13166300;;;;
13/02/2017;4599300;;;;
14/02/2017;3076300;;;;
15/02/2017;1866200;;;;
16/02/2017;2727600;;;;
17/02/2017;2409800;;;;
21/02/2017;2092200;;;;
22/02/2017;1260600;;;;
23/02/2017;1783900;;;;
24/02/2017;2303600;;;;
27/02/2017;1900900;;;;
28/02/2017;1639000;;;;
01/03/2017;1926000;;;;
02/03/2017;2132900;;;;
03/03/2017;2258200;;;;
06/03/2017;1202800;;;;
07/03/2017;1221700;;;;
08/03/2017;1543800;;;;
09/03/2017;1238700;;;;
10/03/2017;1364700;;;;
13/03/2017;1745100;;;;
14/03/2017;1345900;;;;
15/03/2017;2524600;;;;
16/03/2017;3556000;;;;
17/03/2017;3450500;;;;
20/03/2017;1354600;;;;
21/03/2017;1455800;;;;
22/03/2017;1706200;;;;
23/03/2017;1323100;;;;
24/03/2017;3537400;;;;
27/03/2017;1959600;;;;
28/03/2017;2360200;;;;
29/03/2017;6743400;;;;
30/03/2017;2602400;;;;
31/03/2017;3027900;;;;
03/04/2017;2680200;;;;
04/04/2017;3157200;;;;
05/04/2017;2512800;;;;
06/04/2017;3300700;;;;
07/04/2017;5550900;;;;
10/04/2017;3764700;;;;
11/04/2017;1895500;;;;
12/04/2017;1976200;;;;
13/04/2017;1678900;;;;
17/04/2017;5487900;;;;
18/04/2017;3688700;;;;
19/04/2017;3836400;;;;
20/04/2017;6765300;;;;
21/04/2017;9863900;;;;
24/04/2017;4627900;;;;
25/04/2017;2894100;;;;
26/04/2017;2850400;;;;
27/04/2017;2619400;;;;
28/04/2017;3145900;;;;
01/05/2017;2359000;;;;
02/05/2017;2324200;;;;
03/05/2017;3773400;;;;
04/05/2017;2955600;;;;
05/05/2017;1971800;;;;
08/05/2017;2469700;;;;
09/05/2017;2480600;;;;
10/05/2017;2770000;;;;
11/05/2017;3367300;;;;
12/05/2017;4525500;;;;
15/05/2017;3544100;;;;
16/05/2017;4163700;;;;
17/05/2017;3249000;;;;
18/05/2017;3456600;;;;
19/05/2017;2227800;;;;
22/05/2017;2441200;;;;
23/05/2017;3232300;;;;
24/05/2017;3166800;;;;
25/05/2017;3408300;;;;
26/05/2017;2781300;;;;
30/05/2017;2672900;;;;
31/05/2017;5657500;;;;
01/06/2017;5131600;;;;
02/06/2017;3758100;;;;
05/06/2017;4688300;;;;
06/06/2017;3630500;;;;
07/06/2017;3157300;;;;
08/06/2017;2674200;;;;
09/06/2017;3094900;;;;
12/06/2017;2806500;;;;
13/06/2017;2653400;;;;
14/06/2017;2263500;;;;
15/06/2017;2966800;;;;
16/06/2017;3148800;;;;
19/06/2017;2568600;;;;
20/06/2017;2862600;;;;
21/06/2017;1644700;;;;
22/06/2017;3791500;;;;
23/06/2017;5299500;;;;
26/06/2017;3671700;;;;
27/06/2017;1685900;;;;
28/06/2017;3224100;;;;
29/06/2017;1630000;;;;
30/06/2017;1651400;;;;
03/07/2017;1241500;;;;
05/07/2017;2162400;;;;
06/07/2017;1798700;;;;
07/07/2017;1925500;;;;
10/07/2017;2427200;;;;
11/07/2017;3894000;;;;
12/07/2017;2148000;;;;
13/07/2017;1685500;;;;
14/07/2017;2330100;;;;
17/07/2017;1540200;;;;
18/07/2017;2203500;;;;
19/07/2017;2838200;;;;
20/07/2017;4759000;;;;
21/07/2017;9642900;;;;
24/07/2017;3092000;;;;
25/07/2017;3273100;;;;
26/07/2017;1777500;;;;
27/07/2017;2196000;;;;
28/07/2017;1704700;;;;
31/07/2017;2067900;;;;
01/08/2017;1430000;;;;
02/08/2017;2493000;;;;
03/08/2017;1219100;;;;
04/08/2017;1011800;;;;
07/08/2017;1335000;;;;
08/08/2017;2050800;;;;
09/08/2017;1946600;;;;
10/08/2017;1358600;;;;
11/08/2017;2117500;;;;
14/08/2017;1716400;;;;
15/08/2017;1559000;;;;
16/08/2017;910900;;;;
17/08/2017;1380800;;;;
18/08/2017;2883000;;;;
21/08/2017;1958200;;;;
22/08/2017;2084900;;;;
23/08/2017;1183600;;;;
24/08/2017;1195700;;;;
25/08/2017;1509700;;;;
